Date;Open;High;Low;Close;Adj Close;Volume
;;;;;;
29/09/2000;0.503348;0.517857;0.453125;0.459821;0.389781;7421640800
06/08/1997;0.225446;0.247768;0.223214;0.234933;0.199148;4190480000
07/08/1997;0.256696;0.263951;0.253348;0.260603;0.220908;3755438400
23/01/2008;4.863.929;5.000.000;4.505.000;4.966.786;4.210.245;3372969600
21/09/1999;0.653460;0.654018;0.616071;0.618304;0.524124;3357558400
09/01/2007;3.087.500;3.320.714;3.041.071;3.306.071;2.802.490;3349298400
13/01/2005;1.316.250;1.328.929;1.245.179;1.246.429;1.056.573;3164716800
10/01/2007;3.383.929;3.492.857;3.337.500;3.464.286;2.936.606;2952880000
23/09/1983;0.111607;0.111607;0.099330;0.108259;0.083773;2832345600
14/10/2004;0.771250;0.816964;0.759821;0.803214;0.680868;2768427200
14/04/2005;1.386.071;1.412.857;1.315.714;1.330.714;1.128.019;2753192400
12/10/2005;1.737.500;1.796.429;1.709.643;1.758.929;1.491.008;2697486400
06/04/2006;2.439.286;2.573.214;2.435.714;2.544.286;2.156.739;2663768800
29/09/2008;4.272.143;4.274.286;3.592.500;3.759.286;3.186.671;2622057200
11/01/2005;1.218.750;1.234.821;1.145.357;1.152.857;0.977253;2611627200
22/11/2004;1.103.571;1.142.857;1.033.929;1.095.536;0.928664;2568210400
16/07/1998;0.338170;0.340402;0.319196;0.334821;0.283821;2561350400
22/01/2008;5.287.857;5.713.571;5.214.286;5.558.571;4.711.887;2434754000
02/10/2000;0.476563;0.477679;0.419643;0.433036;0.367076;2424788800
18/01/2007;3.289.286;3.289.643;3.180.357;3.181.071;2.696.528;2364605600
29/03/2006;2.111.786;2.232.857;2.059.643;2.226.071;1.886.995;2346834000
15/01/2008;6.347.143;6.400.714;5.880.714;6.037.143;5.117.565;2343278000
05/09/2007;5.177.500;5.208.571;4.860.714;4.884.286;4.140.311;2328222400
15/02/2005;1.547.500;1.590.714;1.535.714;1.578.750;1.338.274;2312217600
03/10/2008;3.714.286;3.803.571;3.380.357;3.466.786;2.938.724;2294398400
14/10/1998;0.354911;0.368862;0.328683;0.333705;0.282875;2280017600
10/01/2006;2.723.214;2.924.643;2.708.214;2.887.857;2.447.978;2279869200
22/10/2008;3.477.500;3.616.071;3.318.929;3.459.643;2.932.669;2248808800
05/04/2006;2.311.071;2.400.357;2.291.071;2.400.357;2.034.734;2233408800
07/01/2005;1.160.714;1.243.393;1.156.250;1.236.607;1.048.247;2227450400
10/10/2008;3.060.714;3.571.429;3.035.714;3.457.143;2.930.549;2219299600
16/01/2008;5.901.071;6.036.071;5.596.429;5.701.429;4.832.987;2213845200
08/10/2008;3.068.214;3.440.357;3.060.000;3.206.786;2.718.328;2207741200
21/10/2008;3.462.500;3.496.429;3.255.714;3.267.500;2.769.793;2193660000
26/07/2007;5.211.071;5.303.571;4.891.429;5.214.286;4.420.046;2186629200
27/01/1989;0.341518;0.350446;0.323661;0.335938;0.263479;2127171200
16/07/1993;0.254464;0.264509;0.236607;0.245536;0.201315;2120596800
06/10/2008;3.284.286;3.527.857;3.126.429;3.505.000;2.971.119;2107417200
27/04/1999;0.383929;0.409040;0.383929;0.408482;0.346262;2106048000
14/07/2005;1.456.786;1.500.357;1.436.786;1.455.357;1.233.677;2096060400
07/02/2008;4.284.643;4.456.429;4.188.214;4.330.000;3.670.452;2083331600
07/01/2008;6.473.214;6.557.143;6.079.643;6.344.286;5.377.923;2072193200
11/05/2005;1.257.143;1.273.929;1.182.500;1.271.786;1.078.067;2041981200
03/10/2000;0.445313;0.446429;0.396205;0.398438;0.337748;2038120000
24/01/2008;4.999.643;5.025.000;4.714.643;4.842.857;4.105.192;2005866800
14/10/2008;4.152.143;4.157.143;3.683.571;3.717.143;3.150.947;1980994400
16/10/2008;3.563.214;3.693.929;3.276.429;3.638.929;3.084.646;1980521200
20/07/2006;2.177.143;2.199.643;2.132.857;2.160.714;1.831.593;1972146400
29/10/2008;3.602.143;3.912.143;3.569.286;3.733.929;3.165.176;1950978400
27/12/2006;2.791.071;2.928.571;2.741.786;2.911.429;2.467.959;1935754800
12/01/2005;1.168.750;1.176.786;1.130.357;1.168.929;0.990877;1919702400
07/06/2007;4.463.929;4.557.500;4.399.643;4.431.071;3.756.129;1915079600
06/09/2007;4.841.429;4.913.214;4.739.643;4.821.786;4.087.330;1901261600
14/10/1999;0.618304;0.654576;0.616071;0.653460;0.553925;1898803200
08/11/2007;6.666.786;6.675.000;5.991.786;6.266.786;5.312.228;1890378000
09/06/2008;6.599.643;6.605.000;6.276.786;6.486.071;5.498.111;1888392800
06/01/1997;0.157366;0.163783;0.154018;0.159598;0.135288;1882832000
18/01/2011;11.768.571;12.312.857;11.642.857;12.166.071;10.312.930;1880998000
22/07/2008;5.321.429;5.812.857;5.233.214;5.786.429;4.905.038;1879592400
07/10/2008;3.588.571;3.625.000;3.176.786;3.184.286;2.699.255;1878772000
11/06/2007;4.500.000;4.505.357;4.269.286;4.292.500;3.638.665;1874258400
19/04/2001;0.456250;0.459821;0.421429;0.459286;0.389327;1873670400
01/05/1991;0.428571;0.437500;0.419643;0.421875;0.338990;1868372800
26/01/2010;7.355.357;7.632.500;7.235.000;7.355.000;6.234.685;1867110000
16/08/2007;4.178.929;4.232.143;3.986.429;4.180.357;3.543.604;1866690000
13/10/2005;1.765.714;1.926.786;1.759.643;1.919.286;1.626.940;1865575600
13/11/2008;3.209.643;3.444.286;3.072.143;3.444.286;2.919.652;1854087200
04/08/2006;2.394.643;2.450.357;2.320.000;2.439.286;2.067.733;1852866400
16/04/1998;0.261161;0.264509;0.251674;0.255580;0.216650;1837953600
15/01/2009;2.877.500;3.004.286;2.858.929;2.977.857;2.524.269;1831634000
20/01/2000;1.031.250;1.084.821;1.013.393;1.013.393;0.859033;1831132800
08/08/1997;0.248326;0.253348;0.233259;0.239397;0.202932;1814164800
09/01/2008;6.117.857;6.410.714;6.010.714;6.407.143;5.431.205;1813882000
06/01/1998;0.142299;0.178571;0.131696;0.169085;0.143330;1812473600
24/07/2007;4.960.000;5.035.714;4.791.071;4.817.500;4.083.697;1795292800
23/10/2007;6.734.286;6.735.714;6.527.143;6.648.571;5.635.860;1795164000
04/03/2008;4.356.786;4.460.000;4.300.000;4.450.714;3.772.780;1785383600
14/01/2005;1.254.464;1.280.714;1.235.536;1.253.571;1.062.627;1770742400
12/11/2007;5.902.857;5.989.286;5.379.643;5.491.429;4.654.973;1769065200
15/07/2004;0.583214;0.600536;0.573393;0.588036;0.498466;1767724000
31/07/2007;5.106.071;5.124.286;4.697.143;4.705.714;3.988.938;1762392800
17/10/2008;3.557.143;3.644.286;3.067.500;3.478.571;2.948.714;1762227600
15/04/2004;0.514643;0.528214;0.502857;0.523214;0.443518;1761446400
10/02/2006;2.327.857;2.416.786;2.246.429;2.403.929;2.037.762;1760477600
11/08/1998;0.337054;0.366071;0.333705;0.348214;0.295174;1759475200
17/01/2008;5.768.214;5.905.714;5.657.857;5.746.071;4.870.827;1757859600
01/08/2007;4.772.857;4.835.000;4.563.214;4.821.429;4.087.027;1750156800
13/11/2007;5.744.643;6.106.429;5.491.429;6.070.000;5.145.417;1739446800
26/04/2007;3.627.857;3.660.714;3.510.714;3.530.000;2.992.309;1737778000
15/04/1999;0.315848;0.323103;0.306362;0.319196;0.270576;1734476800
15/04/2005;1.307.857;1.330.357;1.260.000;1.262.500;1.070.196;1728087200
10/01/2005;1.246.964;1.262.500;1.212.143;1.231.429;1.043.858;1725309600
18/01/2008;5.775.357;5.919.643;5.700.357;5.762.857;4.885.057;1724343600
14/01/1999;0.406250;0.410714;0.366629;0.369420;0.313150;1723859200
27/01/2010;7.387.500;7.520.714;7.126.071;7.424.286;6.293.419;1722568400
13/06/2007;4.326.786;4.328.214;4.121.429;4.196.429;3.557.227;1721353200
20/11/2008;3.044.286;3.087.500;2.857.143;2.874.643;2.436.777;1716814400
29/11/2004;1.231.250;1.242.321;1.203.750;1.222.143;1.035.986;1712916800
19/06/2002;0.310179;0.314286;0.301429;0.305714;0.259148;1709467200
15/04/1991;0.551339;0.575893;0.535714;0.555804;0.446607;1700384000
24/04/2008;5.905.000;6.070.714;5.685.357;6.033.571;5.114.536;1696066400
19/01/2006;2.901.786;2.916.429;2.812.143;2.822.857;2.392.879;1695848000
15/07/1999;0.498884;0.499442;0.458147;0.475446;0.403026;1691804800
12/09/2006;2.600.357;2.623.214;2.551.786;2.593.929;2.198.821;1684687200
